datetime,open,high,low,close
2018-01-15T00:00:00,1336.84,1338.57,1336.32,1338.29
2018-01-15T01:00:00,1338.29,1339.9,1337.13,1339.23
2018-01-15T02:00:00,1339.23,1341.95,1339.09,1340.6
2018-01-15T03:00:00,1340.6,1341.16,1339.99,1340.94
2018-01-15T04:00:00,1340.94,1342.78,1340.65,1342.5
2018-01-15T05:00:00,1342.5,1344.63,1341.64,1343.62
2018-01-15T06:00:00,1343.62,1344.31,1340.06,1340.83
2018-01-15T07:00:00,1340.83,1343.49,1340.48,1342.91
2018-01-15T08:00:00,1342.91,1343.21,1340.59,1340.72
2018-01-15T09:00:00,1340.72,1343.7,1340.34,1342.83
2018-01-15T10:00:00,1342.83,1343.55,1342.18,1342.98
2018-01-15T11:00:00,1342.98,1343.25,1341.1,1341.51
2018-01-15T12:00:00,1341.51,1342.21,1340.84,1341.9
2018-01-15T13:00:00,1341.9,1342.38,1340.26,1342.02
2018-01-15T14:00:00,1342.02,1342.03,1340.14,1340.76
2018-01-15T15:00:00,1340.76,1341.56,1338.48,1341.02
2018-01-15T16:00:00,1341.02,1341.57,1340.26,1340.59
2018-01-15T17:00:00,1340.59,1341.38,1339.8,1339.82
2018-01-15T18:00:00,1339.82,1339.88,1339.82,1339.88
2018-01-15T23:00:00,1339.88,1342.24,1339.03,1341.44
2018-01-16T00:00:00,1341.44,1341.53,1340.08,1340.27
2018-01-16T01:00:00,1340.27,1340.69,1338.06,1340.49
2018-01-16T02:00:00,1340.49,1341.87,1339.7,1340.86
2018-01-16T03:00:00,1340.86,1341.22,1340.06,1340.52
2018-01-16T04:00:00,1340.52,1341.34,1340.34,1341.01
2018-01-16T05:00:00,1341.01,1341.48,1339.95,1340.96
2018-01-16T06:00:00,1340.96,1341.42,1340.03,1340.08
2018-01-16T07:00:00,1340.08,1340.09,1337.84,1339.21
2018-01-16T08:00:00,1339.21,1339.81,1336.28,1337.36
2018-01-16T09:00:00,1337.36,1337.65,1332.85,1334.32
2018-01-16T10:00:00,1334.32,1334.68,1331.78,1333.03
2018-01-16T11:00:00,1333.03,1335.46,1332.72,1334.94
2018-01-16T12:00:00,1334.94,1337.08,1334.83,1335.67
2018-01-16T13:00:00,1335.67,1335.96,1332.5,1333.35
2018-01-16T14:00:00,1333.35,1334.88,1331.9,1332.62
2018-01-16T15:00:00,1332.62,1335.74,1332.62,1335.28
2018-01-16T16:00:00,1335.28,1335.41,1333.47,1334.82
2018-01-16T17:00:00,1334.82,1335.28,1333.29,1334.71
2018-01-16T18:00:00,1334.71,1338.84,1334.43,1338.68
2018-01-16T19:00:00,1338.68,1339.99,1337.83,1338.66
2018-01-16T20:00:00,1338.66,1339.81,1337.49,1339.59
2018-01-16T21:00:00,1339.59,1339.61,1338.18,1338.27
2018-01-16T23:00:00,1338.27,1340.98,1338.15,1340.64
2018-01-17T00:00:00,1340.64,1342.36,1339.32,1341.79
2018-01-17T01:00:00,1341.79,1343.8,1340.84,1343.6
2018-01-17T02:00:00,1343.6,1343.86,1337.67,1339.54
2018-01-17T03:00:00,1339.54,1339.58,1336.24,1337.43
2018-01-17T04:00:00,1337.43,1339.25,1334.64,1334.86
2018-01-17T05:00:00,1334.86,1336.53,1333.83,1334.35
2018-01-17T06:00:00,1334.35,1335.97,1333,1333.31
2018-01-17T07:00:00,1333.31,1335,1332.9,1334.14
2018-01-17T08:00:00,1334.14,1336.15,1334.11,1335.24
2018-01-17T09:00:00,1335.24,1335.86,1334.43,1335.63
2018-01-17T10:00:00,1335.63,1338.84,1335.52,1338.11
2018-01-17T11:00:00,1338.11,1338.63,1336.66,1337.05
2018-01-17T12:00:00,1337.05,1337.14,1334.6,1335.79
2018-01-17T13:00:00,1335.79,1336.71,1334.22,1334.93
2018-01-17T14:00:00,1334.93,1336.95,1333.77,1335.64
2018-01-17T15:00:00,1335.64,1336.83,1334.43,1336.05
2018-01-17T16:00:00,1336.05,1336.09,1330.85,1333.47
2018-01-17T17:00:00,1333.47,1335.99,1333.09,1335.78
2018-01-17T18:00:00,1335.78,1340.38,1335.35,1339.24
2018-01-17T19:00:00,1339.24,1339.32,1328.84,1329.01
2018-01-17T20:00:00,1329.01,1330.45,1326.63,1329.03
2018-01-17T21:00:00,1329.03,1329.53,1325.77,1325.96
2018-01-17T23:00:00,1325.96,1328.81,1325.96,1328.45
2018-01-18T00:00:00,1328.45,1329.51,1327.33,1328.42
2018-01-18T01:00:00,1328.42,1328.51,1324.14,1325.81
2018-01-18T02:00:00,1325.81,1327.08,1325.8,1326.65
2018-01-18T03:00:00,1326.65,1326.73,1325.14,1325.47
2018-01-18T04:00:00,1325.47,1327.48,1325.34,1327.13
2018-01-18T05:00:00,1327.13,1328.73,1326.48,1328.47
2018-01-18T06:00:00,1328.47,1329.84,1327.41,1328.13
2018-01-18T07:00:00,1328.13,1328.52,1325.06,1327.69
2018-01-18T08:00:00,1327.69,1329.31,1327.59,1327.87
2018-01-18T09:00:00,1327.87,1328.94,1327.09,1328.6
2018-01-18T10:00:00,1328.6,1330.3,1328.11,1329.78
2018-01-18T11:00:00,1329.78,1331.34,1329.03,1329.15
2018-01-18T12:00:00,1329.15,1330.91,1327.99,1328.63
2018-01-18T13:00:00,1328.63,1330.06,1326.79,1329.95
2018-01-18T14:00:00,1329.95,1332.35,1328.69,1330.75
2018-01-18T15:00:00,1330.75,1331.82,1328.55,1329.54
2018-01-18T16:00:00,1329.54,1332.97,1328.85,1329.68
2018-01-18T17:00:00,1329.68,1331.4,1328.63,1328.99
2018-01-18T18:00:00,1328.99,1329.66,1326.13,1326.87
2018-01-18T19:00:00,1326.87,1329.04,1326.38,1328.54
2018-01-18T20:00:00,1328.54,1329.26,1325.42,1326.13
2018-01-18T21:00:00,1326.13,1327.35,1326.07,1326.68
2018-01-18T23:00:00,1326.68,1328.25,1326.25,1327.85
2018-01-19T00:00:00,1327.85,1328.27,1326.68,1327.26
2018-01-19T01:00:00,1327.26,1330.6,1327.18,1330.57
2018-01-19T02:00:00,1330.57,1331.76,1329.25,1329.6
2018-01-19T03:00:00,1329.6,1331.78,1329.49,1331.37
2018-01-19T04:00:00,1331.37,1332.16,1330.92,1332.14
2018-01-19T05:00:00,1332.14,1332.47,1330.57,1331.48
2018-01-19T06:00:00,1331.48,1333.07,1331.14,1332.01
2018-01-19T07:00:00,1332.01,1335.31,1331.19,1334.82
2018-01-19T08:00:00,1334.82,1337.93,1333.53,1336.95
2018-01-19T09:00:00,1336.95,1337.25,1334.82,1335.43
2018-01-19T10:00:00,1335.43,1336.42,1334.61,1335.31
2018-01-19T11:00:00,1335.31,1335.52,1333.64,1334.35
2018-01-19T12:00:00,1334.35,1334.87,1333.5,1334.22
2018-01-19T13:00:00,1334.22,1336.08,1333.13,1334.03
2018-01-19T14:00:00,1334.03,1334.49,1332.1,1334.02
2018-01-19T15:00:00,1334.02,1335.28,1332.61,1333.11
